player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Cole Kmet,Chi,TE,0/0,0,0,0,68,364,2,22,178,0,25,0,1,0,86.2,6.2
Braxton Berrios,NYJ,WR,0/0,0,0,0,0,0,0,30,373,3,44,0,0,0,85.3,6.1
Antonio Brown,FA,WR,0/0,0,0,0,2,3,0,38,467,0,56,0,0,0,85.0,8.5
Jamaal Williams,Det,RB,149/236,1515,8,9,16,76,0,0,0,0,0,0,1,0,84.2,10.5
Gerald Everett,LAC,TE,0/0,0,0,0,0,0,0,33,446,1,61,0,0,0,83.6,6.0
Clyde Edwards-Helaire,KC,RB,0/0,0,0,0,55,246,1,27,196,1,31,0,0,0,83.2,5.2
Jameis Winston,NO,QB,122/188,1081,3,4,47,294,2,0,0,0,0,0,3,0,82.64,11.8
Miles Sanders,Phi,RB,0/0,0,0,0,0,0,0,33,434,1,51,0,0,0,82.4,6.9
Ty Johnson,NYJ,RB,1/3,19,0,0,3,6,0,39,420,0,57,0,0,0,82.36,9.2
Quez Watkins,Phi,WR,0/0,0,0,0,0,0,0,24,282,5,38,0,0,0,82.2,6.3
Rhamondre Stevenson,NE,RB,91/150,966,5,5,19,151,3,0,0,0,0,0,0,0,81.74,13.6
Deonte Harty,NO,WR,0/0,0,0,0,67,228,0,32,225,1,42,0,1,0,81.3,6.3
Nyheim Hines,Ind,RB,0/0,0,0,0,0,0,0,29,396,2,49,0,0,0,80.6,8.1
Kareem Hunt,Cle,RB,0/0,0,0,0,0,0,0,31,434,1,48,0,0,0,80.4,8.0
Mo Alie-Cox,Ind,TE,0/0,0,0,0,0,0,0,24,316,4,45,0,0,0,79.6,4.7
Adam Humphries,Wsh,WR,0/0,0,0,0,0,0,0,41,383,0,62,0,0,0,79.3,4.7
Ronald Jones II,KC,RB,0/0,0,0,0,101,428,4,10,64,0,13,0,2,0,79.2,5.3
Jack Doyle,Ind,TE,0/0,0,0,0,0,0,0,29,302,3,43,0,0,0,79.2,4.7
Anthony Firkser,Atl,TE,0/0,0,0,0,0,0,0,34,291,2,43,0,1,0,79.1,5.3
Khalil Herbert,Chi,RB,0/0,0,0,0,103,433,2,14,96,0,16,0,0,0,78.9,4.9
Keelan Cole,LV,WR,0/1,0,0,0,0,0,0,28,449,1,51,0,0,0,78.9,5.6
Cameron Brate,TB,TE,0/0,0,0,0,0,0,0,30,245,4,57,0,0,0,78.5,4.9
Jalen Reagor,Phi,WR,0/0,0,0,0,10,32,0,33,299,2,57,0,0,0,78.1,4.6
Sterling Shepard,NYG,WR,0/0,0,0,0,1,-9,0,36,366,1,53,0,0,0,77.7,11.1
Devin Duvernay,Bal,WR,0/0,0,0,0,7,50,0,33,272,2,47,0,0,0,77.2,4.8
Albert Okwuegbunam,Den,TE,0/0,0,0,0,0,0,0,33,330,2,40,0,1,0,76.0,5.4
Jamal Agnew,Jax,WR,0/0,0,0,0,7,111,1,24,229,1,39,0,0,1,76.0,7.6
Dan Arnold,Jax,TE,0/0,0,0,0,0,0,0,35,408,0,52,0,1,0,75.8,7.6
DeSean Jackson,FA,WR,0/0,0,0,0,1,4,0,20,454,2,34,0,1,0,75.8,5.4
T.Y. Hilton,FA,WR,0/0,0,0,0,0,0,0,23,331,3,37,0,0,0,74.1,7.4
Kyle Juszczyk,SF,RB,0/0,0,0,0,8,22,1,30,296,1,38,0,0,0,73.8,4.6
Jeremy McNichols,Ten,RB,0/0,0,0,0,41,156,0,28,240,1,38,0,0,0,73.6,5.7
Dontrell Hilliard,Ten,RB,0/0,0,0,0,56,350,2,19,87,0,26,0,1,0,72.7,10.4
Jacoby Brissett,Cle,QB,141/225,1283,5,4,19,70,1,0,0,0,0,0,3,0,72.32,6.6
Tyler Johnson,TB,WR,0/0,0,0,0,0,0,0,36,360,0,55,0,0,0,72.0,4.5
Calvin Ridley,Atl,WR,0/0,0,0,0,0,0,0,31,281,2,52,0,0,0,71.1,14.2
Sammy Watkins,GB,WR,0/0,0,0,0,0,0,0,27,394,1,49,0,1,0,70.4,5.4
Geoff Swaim,Ten,TE,0/0,0,0,0,0,0,0,31,210,3,40,0,0,0,70.0,4.4
Durham Smythe,Mia,TE,0/0,0,0,0,2,3,0,34,357,0,41,0,0,0,70.0,4.7
Demarcus Robinson,LV,WR,0/0,0,0,0,0,0,0,25,264,3,41,0,0,0,69.4,5.0
Ricky Seals-Jones,NYG,TE,0/0,0,0,0,0,0,0,30,271,2,49,0,0,0,69.1,6.3
Alex Collins,FA,RB,0/0,0,0,0,108,411,2,9,87,0,10,0,1,0,68.8,6.3
Danny Amendola,FA,WR,0/1,0,0,0,0,0,0,24,248,3,37,0,0,0,68.8,8.6
Darius Slayton,NYG,WR,0/0,0,0,0,1,-13,0,26,339,2,58,0,1,0,68.6,5.3
Jonnu Smith,NE,TE,0/0,0,0,0,9,40,0,28,294,1,45,0,0,0,67.4,4.5
Ray-Ray McCloud,SF,WR,0/0,0,0,0,2,15,0,39,277,0,66,0,1,0,66.2,4.1
James Washington,Dal,WR,0/0,0,0,0,2,13,0,24,285,2,44,0,0,0,65.8,4.4
Ryan Griffin,Chi,TE,0/0,0,0,0,0,0,0,27,261,2,42,0,0,0,65.1,4.6
Chester Rogers,FA,WR,0/0,0,0,0,1,9,0,30,301,1,43,0,1,0,65.0,4.1
Cam Newton,Car,QB,41/71,603,5,2,38,168,1,0,0,0,0,0,0,0,64.92,10.8
Justin Jackson,FA,RB,0/0,0,0,0,0,0,0,26,329,1,38,0,1,0,64.9,5.9
Foster Moreau,LV,TE,0/0,0,0,0,1,3,0,22,323,2,37,0,1,0,64.6,4.6
Jerry Jeudy,Den,WR,0/0,0,0,0,0,0,0,26,221,3,31,0,1,0,64.1,5.3
Andy Dalton,NO,QB,0/0,0,0,0,0,0,0,27,263,2,43,0,1,0,63.3,5.3
